grouping name	table name	column name	Entity Name	Entity-Attribute Name	Entity-Attribute Definition	Key Field	Data Type	source database	source table	source column	notes
am_eng	am_ant_sys	ant_mode	AM Antenna System	Antenna Mode	"Mode of the complete antenna system.  It indicates whether directional or non-directional, number of patterns, etc.  For example:  DA1, DA2, DAN, ND1, ND2"	FALSE	char(3)	"BAPS,mm"	"authorization_am,
ameng"	"antenna_mode_day, night, crit, 
mode"	code_table lookup.  Note: this is also in authorization_geneneral.asrn field…unknown for which mode but it doesn't matter b/c authorization_am does have the mode.  Duplicate and ignored info.
am_eng	am_ant_sys	ant_sys_id	AM Antenna System	Antenna System ID	Identifies a specific antenna within a facility.	TRUE	int	NEW	n/a	n/a	Primary Key
am_eng	am_ant_sys	application_id	AM Antenna System	Application ID Number	Uniquely identifies an application	TRUE	int	FK	am_eng_data	application_id	This is link back to AM Common Data
am_eng	am_ant_sys	aug_count	AM Antenna System	Augmentation Count	The count of the total number of augmentations in the array (minimum = 0; maximum = 28)	FALSE	tinyint	mm	ameng	numaug	
am_eng	am_ant_sys	augmented_ind	AM Antenna System	Augmented Indicator	Indicates if the antenna is augmented Y or not N.	FALSE	char(1)	NEW	n/a	n/a	(future release)
am_eng	am_ant_sys	rms_augmented	AM Antenna System	Augmented RMS	RMS is the root-mean-square of the augmented standard radiation pattern in all directions in the horizontal plane in mV/m at 1 km. Computed by formula in 73.152	FALSE	float	BAPS	authorization_am	"rms_augmented_day, night, crit"	Calculated by radiat
am_eng	am_ant_sys	bad_data_switch	AM Antenna System	Bad Data Switch	Indicates whether some parameters in this record are known to be bad. spaces:  no bad data. B:  some (undefined) data is known to be bad. V:  Antenna parameters affecting calculations in the vertical plane are known to be bad; antenna parameters affecting	FALSE	char(1)	mm	ameng	baddata	code_table lookup
am_eng	am_ant_sys	biased_lat	AM Antenna System	Biased Lat	Digital Latitude: Calculated value; (latitude degrees +90) + (lat_min/60) + (lat_sec/3600).  Used for indexing.  Eliminates negative values	FALSE	float	mm	ameng	biased_lat	calculated value
am_eng	am_ant_sys	biased_long	AM Antenna System	Biased Long	"Digital Longitude, Calculated value:  (degrees+180) + (minutes/60) + (seconds/3600).  Used for indexing.  Eliminates negative values"	FALSE	float	mm	ameng	biased_lon	calculated value
am_eng	am_ant_sys	q_factor_custom_ind	AM Antenna System	Custom Q Factor Indicator	Indicates that this record had a custom-entered q-factor in legacy.	FALSE	ind	mm	ameng	q	"If q populated with a real value, set = ""Y"" otherwise ""N.""  Requred because the q factor is calculated for authorization_am records and must be ported over."
am_eng	am_ant_sys	last_update_date	AM Antenna System	Date last updated	The date this record was last updated.	FALSE	datetime	NEW			
am_eng	am_ant_sys	domestic_pattern	AM Antenna System	Domestic Pattern	"Type of directional antenna pattern, as authorized domestically.  T:  Theoretical.  S:  Standard. A:  Augmented."	FALSE	char(1)	mm	ameng	dpattern	code table lookup: ant_pattern. (notified pattern is intl)
am_eng	am_ant_sys	dummy_data_switch	AM Antenna System	Dummy Data Switch	"Indicates whether some of the parameters in this record are assumed values, rather than actual values.  Possible values are: spaces:  nothing is assumed.  D:  something (undefined) is assumed in this record.  V:  Antenna parameters affecting calculations"	FALSE	char(1)	mm	ameng	dummydata	code table lookup
am_eng	am_ant_sys	eng_record_type	AM Antenna System	Engineering Record type	Flag indicating the type of Engineering record this is. A: Archive C: Current	FALSE	char(1)	NEW	n/a	n/a	code_table lookup; was in am_eng_data but moved b/c its really the ant system engineering profiles that we need to be concerned with
am_eng	am_ant_sys	feed_circ_type	AM Antenna System	Feed Circuit Type	Identifies the type of feed circuit used with the antenna:  Series Feed; Folded Unipole; Shunt Feed; Other.	FALSE	char(2)	FORM	n/a	n/a	code_table lookup.  Currently located in ant_desc field.
am_eng	am_ant_sys	feed_circ_other	AM Antenna System	Feed Circuit Type Other Description	Text describing the type of feed circuit when the feed circuit is not one of the standard types.	FALSE	varchar(255)	FORM	n/a	n/a	"If we don't have a pre-defined code for the type, we let the user type in a short description."
am_eng	am_ant_sys	grandfathered_ind	AM Antenna System	Grandfathered Indicator	Indicates whether or not the rules are grandfathered	FALSE	ind	NEW	n/a	n/a	
am_eng	am_ant_sys	hours_operation	AM Antenna System	Hours of Operation	The operating hours during which the parameters are used.  Values:  U:  Unlimited (both day and night or portions thereof); N:  Nighttime; D:  Daytime; C:  Critical Hours; R:  Canadian Restricted; P:  Pre-sunrise.	FALSE	char(1)	"BAPS,mm"	"xmit_coord_am,
ameng"	"hours_flag,
hours"	
am_eng	am_ant_sys	lat_whole_secs	AM Antenna System	Latitude Whole Seconds	"Latitude, expressed in seconds"	FALSE	int	NEW	n/a	n/a	calculated field: 3600*lat_deg+60*lat_min+lat_sec.  Used in MFF queries
am_eng	am_ant_sys	lon_whole_secs	AM Antenna System	Longitude Whole Seconds	"Longitude, expressed in seconds"	FALSE	int	NEW	n/a	n/a	calculated field: 3600*lon_deg+60*lon_min+lon_sec.  Used in MFF queries
am_eng	am_ant_sys	mainkey	AM Antenna System	MainKey	Primary Key in legacy database. Not maintained in CDBS.	FALSE	varchar(16)	mm	ameng	mainkey	Can be deleted upon conversion
am_eng	am_ant_sys	power	AM Antenna System	Power	Nominal Power (Night)	FALSE	float	FORM	n/a	n/a	Changed - 9/10/99
am_eng	am_ant_sys	q_factor	AM Antenna System	Q Factor	"Q for the standard pattern formula in 73.150.  When this is blank, Q should be computed and used.  When this is non-blank (including 0), this value of Q should be used as a special Q.  Units are mV/m at 1 km."	FALSE	float	"BAPS,mm"	"authorization_am,
ameng"	"q_factor_day, night, crit,
q"	"If = "" "" in ameng, its ""standard"" otherwise custom.  Always calculated/existant in authorization_am tables."
am_eng	am_ant_sys	efficiency_restricted	AM Antenna System	Restricted Efficiency	Restricted antenna radiation	FALSE	float	BAPS	authorization_am	efficiency_restricted	
am_eng	am_ant_sys	specified_hrs_range	AM Antenna System	Specified Hours Range	Additional information to be included on AM authorization for stations that operate during specified hours	FALSE	varchar(25)	NEW	n/a	n/a	
am_eng	am_ant_sys	rms_standard	AM Antenna System	Standard RMS	The RMS of the standard radiation pattern in all directions in the horizontal plane computed by 73.150	FALSE	float	BAPS	authorization_am	"rms_standard_day, night, crit"	Calculated by radiat
am_eng	am_ant_sys	efficiency_theoretical	AM Antenna System	Theoretical Efficiency	The antenna radiation at 1 km from the antenna. Same as RMS Theoritical	FALSE	float	BAPS	authorization_am	efficiency_theoretical	
am_eng	am_ant_sys	rms_theoretical	AM Antenna System	Theoretical RMS	"The root-mean-square of the radiation pattern in all directions in the horizontal plane in mV/m at 1 km, computed by formula in 73.150.  Directional Antenna:  RMS at the nominal power. Non-Directional Antenna:  RMS at 1 kw."	FALSE	float	"BAPS,mm"	"authorization_am,
ameng"	"rms_theoretical_day, night, crit, 
rms"	
am_eng	am_ant_sys	tower_count	AM Antenna System	Tower Count	The total number of towers in the array: (1 for Non-Directional; up to 17 for Directional).	FALSE	tinyint	mm	ameng	numtowers	
am_eng	am_augs	ant_sys_id	AM Augmentations	Antenna System ID	Identifies a specific antenna within a facility.	TRUE	int	FK	am_ant_sys	ant_sys_id	
am_eng	am_augs	aug_id	AM Augmentations	Augmentation ID	Uniquely identifies a specific augmentation; maximum value = 28	TRUE	tinyint	"BAPS,mm"	"augmentations_am
amengaugs"	"aug_number,
aug_num"	Derived column; will depend on how many augmentations exist for each Antenna.  Max of 28.  Pull a query from amengaugs and the ID will be the nth occurrence for each antenna
am_eng	am_augs	azimuth_deg	AM Augmentations	Central Azimuth	Central azimuth of the augmentation in degrees.  Ref 73.152.	FALSE	float	"BAPS,mm"	"augmentations_am
amengaugs"	"deg_azimuth, 
cen_az"	Changed from int when encountered 1/2 degree azimuths in authorization_am…
am_eng	am_augs	last_update_date	AM Augmentations	Date last updated	The date this record was last updated.	FALSE	datetime	NEW			
am_eng	am_augs	radiation_aug	AM Augmentations	Radiation at Central Azimuth	"The radiation at the central azimuth of the augmentation, in mV/m at 1 km.  Ref 73.152."	FALSE	float	"BAPS,mm"	"augmentations_am
amengaugs"	"radiation_azimuth,
aug_rad"	
am_eng	am_augs	span_deg	AM Augmentations	Span	Complete span of the augmentation in degrees.  Ref 73.152.	FALSE	float	"BAPS,mm"	"augmentations_am
amengaugs"	"deg_span,
span"	Changed from int when encountered 1/2 degree azimuths in authorization_am…
am_eng	am_eng_data	am_dom_status	AM Common Engineering Data	AM Domestic Status	Engineering status of record	FALSE	char(1)	mm	ameng	status	code_table lookup
am_eng	am_eng_data	ant_monitor	AM Common Engineering Data	Antenna Monitor	The manufacturer of the antenna monitor equipment: Data entered by hand currently from license form.	FALSE	name	BAPS	authorization_am	antenna_monitor	This field is on the License form and is currently entered by hand by the fcc staff.
am_eng	am_eng_data	application_id	AM Common Engineering Data	Application ID Number	Uniquely identifies an application.	TRUE	int	FK	application	application_id	"Primary key of am common engineering data, though it may be a FK of application"
am_eng	am_eng_data	broadcast_schedule	AM Common Engineering Data	Broadcast Schedule	"A one character code for a broadcast schedule; D for Daytime only, N for nighttime only, U for unlimited, L for limited times, and H for specific hours."	FALSE	char(1)	"BAPS,mm"	"authorization_am,
ameng"	"broadcast_schedule,
schedule"	"code table lookup.  Name changes from ""complete schedule"" in BAPS  to ""broadcast schedule"" in mm"
am_eng	am_eng_data	last_update_date	AM Common Engineering Data	Date last updated	The date this record was last updated.	FALSE	datetime	NEW			
am_eng	am_eng_data	encl_fence_dist	AM Common Engineering Data	Enclosed Fence Distance	No longer used	FALSE	float				
am_eng	am_eng_data	facility_id	AM Common Engineering Data	Facility ID	Uniquely identifies a facility	TRUE	int	FK	facility	facility_id	FK Facility
am_eng	am_eng_data	feed_circ_type	AM Common Engineering Data	Feed Circuit Type	Identifies the type of feed circuit used with the antenna:  Series Feed; Folded Unipole; Shunt Feed; Other.	FALSE	char(2)	FORM			code_table lookup.  Currently located in ant_desc field.
am_eng	am_eng_data	feed_circ_other	AM Common Engineering Data	Feed Circuit Type Other Description	Text describing the type of feed circuit when the feed circuit is not one of the standard types.	FALSE	varchar(255)	FORM			"If we don't have a pre-defined code for the type, we let the user type in a short description."
am_eng	am_eng_data	old_station_class	AM Common Engineering Data	Old Station Class	Legacy station class	FALSE	char(2)	mm	ameng	class	code_table lookup; am_station_class
am_eng	am_eng_data	region_2_class	AM Common Engineering Data	Region 2 Class	"Class of the station as notified to the IFRB pursusant to the Region 2 MF Broadcasting Agreement.  Class can be A, B, or C."	FALSE	char(1)	mm	ameng	r2class	code_table lookup.  Moved from am_ant_sys to here because of forms change.
am_eng	am_eng_data	sampl_sys_ind	AM Common Engineering Data	Sampling System Indicator	Indicates whether a system is used to monitor the operation of a directional system.	FALSE	ind	BAPS	authorization_am	sampling_system_flag	Some sampling indicator is in License app inds…
am_eng	am_eng_data	specified_hours	AM Common Engineering Data	Specified Hours	Specified hours for the broadcast schedule	FALSE	varchar(255)	FORMS ONLY			
am_eng	am_eng_data	station_class	AM Common Engineering Data	Station Class	"Identifies the class of the station.  A, B, C, or D"	FALSE	char(1)	"BAPS,mm"	"authorization_general,
ameng"	"flag_eng_edits,
class"	code_table lookup
am_eng	am_eng_data	time_zone	AM Common Engineering Data	Time Zone	A code for the Time zone of the station.  Can be 1-7.	FALSE	char(1)	BAPS	authorization_am	time_zone	code_table lookup
am_eng	am_towers	topload_a	AM Towers	A	"Value dependent on the value of Top-Loaded/Sectionalized Switch (T/LSS). T/LSS = 1:  ""A"" in top-loaded formula (73.160(b)); stored in electrical degrees. T/LSS = 2:  ""A"" in the sectionalized formula (73.160(b)); stored in electrical degrees."	FALSE	float	"BAPS,mm"	"towers_am,
amengtow"	"topload_a,
tl_a"	
am_eng	am_towers	ant_sys_id	AM Towers	Antenna System ID	Identifies a specific antenna within a facility.	TRUE	int	FK	am_ant_sys	ant_sys_id	
am_eng	am_towers	asrn_id	AM Towers	ASRN Number	"Unique ASRN number assigned to a registered tower.  ASRN==Antenna Site Registration Number, and is obtained from ASRS (Antenna Site Registration System)"	FALSE	int	BAPS	towers_am	tower_asrn	ASRN is an Gettysburg number.  Towers are only required to be registered w/ the FAA if > 60 meters.  We currently have no linkage to the Gettysburg system.
am_eng	am_towers	asrn_na_ind	AM Towers	ASRN Number Not Applicable Indicator	ASRN Number Not Applicable Indicator	FALSE	ind	FORM	n/a	n/a	"Was only FM, TV, form change."
am_eng	am_towers	topload_b	AM Towers	B	"Value dependent on the value of Top-Loaded/Sectionalized Switch (T/LSS).T/LSS = 1:  ""B"" in top-loaded formula (73.160(b)); stored in electrical degrees.T/LSS = 2:  ""B"" in the sectionalized formula (73.160(b)); stored in electrical degrees."	FALSE	float	"BAPS,mm"	"towers_am,
amengtow"	"topload_b,
tl_b"	
am_eng	am_towers	topload_c	AM Towers	C	"Value dependent on the value of Top-Loaded/Sectionalized Switch (T/LSS). T/LSS = 1:  C is not used. T/LSS = 2:  ""C"" in the sectionalized formula (73.160(b)); stored in electrical degrees.  Additional possibilities are defined in the program code."	FALSE	float	"BAPS,mm"	"towers_am,
amengtow"	"topload_c,
sec_c"	
am_eng	am_towers	topload_d	AM Towers	D	"Value dependent on the value of Top-Loaded/Sectionalized Switch (T/LSS). T/LSS = 1:  D is not used. T/LSS = 2:  ""D"" in the sectionalized formula (73.160(b)); stored in electrical degrees. Additional possibilities are defined in the program code."	FALSE	float	"BAPS,mm"	"towers_am,
amengtow"	"topload_d,
sec_d"	
am_eng	am_towers	last_update_date	AM Towers	Date last updated	The date this record was last updated.	FALSE	datetime	NEW			
am_eng	am_towers	elec_hgt_deg	AM Towers	Electrical Height	"The height of the radiator in electrical degrees, normally not the height above ground.  Usually it is the height above insulator without obstruction lighting."	FALSE	float	"BAPS,mm"	"towers_am,
amengtow"	"deg_height,
height"	
am_eng	am_towers	faa_notified_ind	AM Towers	FAA Notified Indicator	Indicates whether the FAA has been notified re this tower	FALSE	ind	FORM	n/a	n/a	added late
am_eng	am_towers	field_ratio	AM Towers	Field Ratio	The ratio of the field radiated by each tower.	FALSE	float	"BAPS,mm"	"towers_am,
amengtow"	"field_ratio,
fieldratio"	
am_eng	am_towers	hgt_rad_ab	AM Towers	Height of Radiator Above Base	"Overall height of radiator above base insulator, or above base, if grounded"	FALSE	float	FORM	n/a	n/a	
am_eng	am_towers	orientation_deg	AM Towers	Orientation	"The orientation of this tower, in electrical degrees, from the origin or from the immediately preceding tower, depending on the value of the tower reference switch."	FALSE	float	"BAPS,mm"	"towers_am,
amengtow"	"deg_orientation,
orien"	
am_eng	am_towers	hgt_overall_mtr	AM Towers	Overall Height	Overall Height Above Ground Include Obstruction Lighting	FALSE	float	BAPS	"authorization_am, towers_am"	hgt_overall_mtr	"if it’s a one tower system its in auth_am, otherwise all in towers_am."
am_eng	am_towers	hag_no_obst	AM Towers	Overall Height Above Ground No Obstruction Lighting	Overall height above ground (without obstruction lighting)	FALSE	float	FORM	n/a	n/a	
am_eng	am_towers	phasing_deg	AM Towers	Phasing	The relative phasing for this tower in electrical degrees.  Range: -360 to +360.	FALSE	float	"BAPS,mm"	"towers_am,
amengtow"	"deg_phasing,arn
phasing"	
am_eng	am_towers	rad_hgt_deg	AM Towers	"Radiator Height, Degrees"	The height of antenna radiator in degrees.	FALSE	float	BAPS	authorization_am	hgt_radiator_deg	
am_eng	am_towers	hgt_radiator_mtr	AM Towers	"Radiator Height, Meters"	Height of antenna radiator in meter	FALSE	float	BAPS	authorization_am	hgt_radiator_mtr	
am_eng	am_towers	spacing_deg	AM Towers	Spacing	"The spacing of this tower, in electrical degrees, from the origin or from the immediately preceding tower, depending on the value of the tower reference switch. FORTRAN F8.3"	FALSE	float	"BAPS,mm"	"towers_am,
amengtow"	"deg_spacing,
spacing"	
am_eng	am_towers	topload_apparent_hgt	AM Towers	Toploaded/Sectionalized Antenna Apparent height	Toploaded/Sectionalized Antenna Apparent height	FALSE	floatt	FORM	n/a	n/a	
am_eng	am_towers	top_loaded_switch	AM Towers	Top-Loaded/Sectionalized Switch	"Indicates whether this tower is a normal tower, top-loaded, or sectionalized.  Values:  blank or 0:  normal tower; . 1:  top-loaded tower; 2 and up:  Sectionalized tower"	FALSE	char(1)	"BAPS,mm"	"towers_am,
amengtow"	"topload_switch,
tl_sec"	code_table lookup
am_eng	am_towers	tower_num	AM Towers	Tower Number	Sequential number of tower (1..17)	TRUE	tinyint	"BAPS,mm"	"towers_am,
amengtow"	"tower_number,
tow_num"	
am_eng	am_towers	tower_pl_codes	AM Towers	Tower PL Codes	Paragraph numbers identifying painting and lighting requirements for towers. Formerly included on authorizations.	FALSE	varchar(40)	BAPS	towers_am	tower_pl_codes	
am_eng	am_towers	tower_ref_switch	AM Towers	Tower Reference Switch	Indicates the spacing and orientation of this tower with respect to the origin or to the immediately preceding tower.  blank or 0:  with respect to the origin; 1:  with respect to immediately preceding tower	FALSE	char(1)	"BAPS,mm"	"towers_am,
amengtow"	"ref_switch,
tow_ref"	code_table lookup
am_eng	am_towers	tower_type	AM Towers	Tower Type	"Indicates whether the Tower Type is (A) Top-loaded,
(B) Sectionalized, or (C) Neither"	FALSE	char(1)	"towers_am,
amengtow"	"tower_type,
tow_num"		
fmtv_eng	ant_make	ant_make	Antenna Make/Model	Antenna Make	The make of an antenna	FALSE	char(3)	mm	"fmdatable,tvdafull,dtvda,tvtxeng"	make	"Insert make/model pairs out of tvtxeng for all antennas with a model in form of ""*A"" per Nai. Code_table lookup"
fmtv_eng	ant_make	antenna_id	Antenna Make/Model	Antenna Make/Model ID	Identifies a specific antenna make and model	TRUE	int	NEW	n/a	n/a	
fmtv_eng	ant_make	ant_model_num	Antenna Make/Model	Antenna Model Number	The model number of an antenna	FALSE	name	mm	"fmdatable,tvdafull,dtvda,tvtxeng"	model	"dtvda has no model number, so I created a combo of state-city-channel as the model number"
fmtv_eng	ant_make	app_service	Antenna Make/Model	Application Service ID	The Service using this antenna	FALSE	char(2)	mm	"fmdatable,tvdafull,dtvda,tvtxeng"	n/a	"Column renamed from service to app_service 6/99. Populated from legacy source; if fmdatable then fm, if tvdafull or tvtxeng then tv, dtvda==DT"
fmtv_eng	ant_make	last_change_date	Antenna Make/Model	Date last updated	The date this record was last updated.	FALSE	datetime				From record_change - not an actual field in this table.
fmtv_eng	ant_make	standard_ind	Antenna Make/Model	Standard Indicator	Indicates if Standard pattern is used or the pattern is modified.	FALSE	char(1)	NEW	n/a	n/a	
fmtv_eng	ant_pattern	additional_az_num	Antenna Pattern	Additional Azimuth Number	Identifies Order Additional Azimuths Entered from the Form	FALSE	smallint	Forms Only	n/a	n/a	
fmtv_eng	ant_pattern	antenna_id	Antenna Pattern	Antenna Make/Model ID	Identifies a specific antenna make and model	TRUE	int	FK	ant_make	antenna_id	
fmtv_eng	ant_pattern	azimuth	Antenna Pattern	Azimuth	"Azimuth, in whole degrees, on which the relative field is measured."	TRUE	float	mm	"fmdatable,tvdafull,dtvda"	X	"Where X = the column name of the table (I.e., rad0..rad350 and spaz1..spaz10).  Special Azs can contain fractions."
fmtv_eng	ant_pattern	last_change_date	Antenna Pattern	Date last updated	The date this record was last updated.	FALSE	datetime				From record_change - not an actual field in this table.
fmtv_eng	ant_pattern	field_value	Antenna Pattern	Relative Field Value	The relative field value for a specific azimuth	FALSE	float	mm	"fmdatable,tvdafull,dtvda"	"radX, spradX"	the actual values in radX and spradX
application	application	application_id	Application	Application ID Number	A system-generated incremental number uniquely identifying each application	TRUE	int	NEW	n/a	n/a	"New Field.  A strictly numeric field used internally to join tables.  Will replace all that was ""file number."""
application	application	app_type	Application	Application Type	The type of application being processed.  Code-driven and popul	FALSE	varchar(4)	BAPS	application	app_type	code_table lookup.  Converted based on complex logic from baps_app_type
application	application	app_arn	Application	ARN (Application Reference Number)	"The ARN of an application.  The date application filed (with a 4-digit year) followed by a 3-letter combination representing the order of processing during a particular day (AA=1st, AB=2nd, etc) Old apps may have only a number or date and letters."	FALSE	arn	"BAPS,mm"	"application,
fmfxeng,tvtxeng"	"app_arn,
arn"	
application	application	assoc_facility_id	Application	Associated facility identifier	The associated analog facility of a digital low power companion channel station.	FALSE	int				
application	application	station_channel	Application	Channel Number	Channel number	FALSE	int	"BAPS,mm"	"facility,auth_tv,tx
fmfxeng,tvtxeng"	"channel
chan"	Was in Eng tables; updates facility when granted
application	application	comm_city	Application	Community of License city	"The city of the facility's ""community served"""	FALSE	city	"BAPS,mm"	"facility, authorization_tv
,ameng,fmfxeng,tvtxeng"	"state_station_loc,
state"	Was in Eng tables; updates facility when granted
application	application	comm_county	Application	Community of License County	"The county of the facility's ""community served"""	FALSE	varchar(20)				
application	application	comm_state	Application	Community of License State	"The state of the facility's ""community served"""	FALSE	state	"BAPS,mm"	"facility, authorization_tv
,ameng,fmfxeng,tvtxeng"	"state_station_loc,
state"	Was in Eng tables; updates facility when granted
application	application	comm_zip1	Application	Community of License Zip Code 1	"The zip code (1st 5 digits) of the facility's ""community served"""	FALSE	varchar(5)				
application	application	comm_zip2	Application	Community of License Zip Code 2	"The zip code (additional 4 digits) of the facility's ""community served"""	FALSE	varchar(4)				
application	application	correspond_ind	Application	Correspondence Indicator	This is a correspondence or informal form rather than an application or filing from a formal numbered form.	FALSE	char(1)				
application	application	dtv_type	Application	DTV Type	"Indicates whether the facility will operate as a pre-transition facility, post-transition facility or both"	FALSE	varchar(8)	n/a	n/a	n/a	"PRETRAN, POSTRAN,BOTH"
application	application	fac_callsign	Application	Facility Call Sign	The call sign of the facility/station	FALSE	callsign	mm	"fmfxeng,tvtxeng,ameng"	"call_sign, call_letter"	
application	application	fac_frequency	Application	Facility Frequency	The frequency assigned to the station	FALSE	frequency	"BAPS,mm"	"authorization_fm/fx,
fmfxeng,ameng"	"freq_assigned,
freq"	Was in Eng tables; updates facility when granted
application	application	facility_id	Application	Facility ID	Uniquely identifies a facility	TRUE	int	FK	facility	facility_id	
application	application	frn	Application	FCC Registration Number	FCC Registration Number	FALSE	varchar(10)				
application	application	file_prefix	Application	File Prefix	"Derived combination data type consisting of a ""B"", the code of the application type (CP=Construction Permit e.g.) and the code for the facility type"	FALSE	file_prefix	"BAPS,mm"	"application,
fmfxeng,tvtxeng"	"file_prefix,
prefix"	
application	application	general_app_service	Application	General Service	"Whether application service is AM, FM, TV, or DT.  Tied directly to a form question.  Needed for some forms because the real app_service gets adjusted for auxiliary stations."	FALSE	char(2)	NEW	n/a	n/a	No value for forms that do not have the possibility of being for an auxiliary station (app_service used directly instead).
application	application	network_affil	Application	Network Affiliation	"Current network affiliation (free text, not from a list of values), if applicable."	FALSE	varchar(100)				
application	application	paper_filed_ind	Application	Paper Filed Indicator	Indicates whether a form has been paper filed	FALSE	ind	"BAPS,mm"	n/a	n/a	################
application	application	sat_tv_ind	Application	Satellite TV Indicator	If satellite TV	FALSE	char(1)				
application	application	app_service	Application	Service	Identifies the specific service being addressed by the application.	FALSE	char(2)	"BAPS,mm"	"application,
fmfxeng,tvtxeng"	"id_service,
serv"	code_table lookup; service
application	application	shortform_app_arn	Application	Short Form Application ARN	ARN for the referenced Short Form	FALSE	varchar(12)				
application	application	shortform_file_prefix	Application	Short Form File Prefix	File Prefix for the referenced Short Form	FALSE	varchar(10)				
tracking	app_tracking	amendment_stamped_date	Application Tracking	Amendment Stamped Date	The official stamped date of an amendment.	FALSE	datetime	NEW	n/a	n/a	"Field def_letter_date not used, renamed 10/2001"
tracking	app_tracking	application_id	Application Tracking	Application ID Number	A system-generated incremental number uniquely identifying each application	TRUE	int	NEW	n/a	n/a	
tracking	app_tracking	accepted_date	Application Tracking	Application Officially Accepted Date	The date the application is accepted for filing by the FCC.  Generally feeable applications are not accepted until the fee is paid.  This date is the legal date associated with the public notice.	FALSE	datetime	BAPS	application	date_accepted	"12/02 fixed, date was being set on transfer for all, even tendered apps."
tracking	app_tracking	app_status	Application Tracking	Application Status	Specifying the current application status	FALSE	varchar(5)	BAPS	application	record_status	
tracking	app_tracking	app_status_date	Application Tracking	Application Status date	Date the application status took effect.	FALSE	datetime	BAPS	"application,authorization_general"	many dates	"Depending on record status, will populate with one of several possible dates.  See app_status_date.pl code for logic."
tracking	app_tracking	cutoff_date	Application Tracking	Cutoff Date	"The cutoff date of the application.
FA/TA: window close date for applications to file for the allotment (its actually populated in gen_app_indicators)
FR/TR: rulemaking file date
NCEdu/FX/FB/TX/TB: The day by which competitors must file competing apps"	FALSE	datetime	"fmtrack,mm"	"mastertbl,
fmfxeng,tvtxeng,ameng"	"cutoff_date,
cutoff"	there is cutoff in the mm engineering tables; believe fmtrack is more accurate.  Therefore we'll load up mms and overwrite w/ trackings..
tracking	app_tracking	cutoff_type	Application Tracking	Cutoff type	A code for the type of cutoff	FALSE	char(1)	fmtrack	mastertbl	cutoff_type	code_table lookup: cutoff_type
tracking	app_tracking	last_change_date	Application Tracking	Date last updated	The date this record was last updated.	FALSE	datetime				From record_change - not an actual field in this table.
tracking	app_tracking	cp_exp_date	Application Tracking	Date the construction permit expires	The date the Construction Permit will expire	FALSE	datetime	"BAPS,mm"	"application,
fmfxeng, ameng"	"date_cp_expires,
cp_expire"	"deleted, then added later as requested."
tracking	app_tracking	dtv_checklist	Application Tracking	DTV Checklist	"DTV Checklist application values  Y, N"	FALSE	char(1)	NEW	n/a	n/a	
